# Time(Gyr) Mg(Msol) Ms(Msol) SFR(Msol/yr) SSFR(/yr) Md(Msol) M_Z(Msol) Z, f_g 
0.00103989550283 39999585510.24 414489.76 10.39 2.50654817996e-05 0.00 0.00 0.0 1.00 
0.0010813826568 39999154484.20 845515.80 10.39 1.2287630305e-05 0.00 0.00 0.0 1.00 
0.00112452496164 39998706262.16 1293737.84 10.39 8.03051843433e-06 0.00 0.00 0.0 1.00 
0.00116938845043 39998240158.08 1759841.92 10.39 5.90359022395e-06 0.00 0.00 0.0 1.00 
0.00121604179066 39997755458.54 2244541.46 10.39 4.62873408405e-06 0.00 0.00 0.0 1.00 
0.00126455638936 39997251421.67 2748578.33 10.39 3.77991248835e-06 0.00 0.00 0.0 1.00 
0.00131500650236 39996727275.99 3272724.01 10.39 3.17453764446e-06 0.00 0.00 0.0 1.00 
0.001367469348 39996182219.26 3817780.74 10.39 2.72131541163e-06 0.00 0.00 0.0 1.00 
0.00142202522523 39995615417.22 4384582.78 10.39 2.36952660696e-06 0.00 0.00 0.0 1.00 
0.00147875763663 39995026002.32 4973997.68 10.39 2.08873952809e-06 0.00 0.00 0.0 1.00 
0.0015377534161 39994413072.42 5586927.58 10.39 1.85958837277e-06 0.00 0.00 0.0 1.00 
0.00159910286186 39993775689.37 6224310.63 10.39 1.66916244882e-06 0.00 0.00 0.0 1.00 
0.00166289987461 39993112877.61 6887122.39 10.39 1.50852344118e-06 0.00 0.00 0.0 1.00 
0.00172924210126 39992423622.64 7576377.36 10.39 1.3712867075e-06 0.00 0.00 0.0 1.00 
0.0017982310844 39991706869.49 8293130.51 10.39 1.25277005563e-06 0.00 0.00 0.0 1.00 
0.00186997241771 39990961521.12 9038478.88 10.39 1.14946172964e-06 0.00 0.00 0.0 1.00 
0.00194457590758 39990186436.70 9813563.30 10.39 1.05867616564e-06 0.00 0.00 0.0 1.00 
0.0020221557412 39989380429.89 10619570.11 10.39 9.78324495661e-07 0.00 0.00 0.0 1.00 
0.00210283066129 39988542267.04 11457732.96 10.39 9.06757524158e-07 0.00 0.00 0.0 1.00 
0.00218672414789 39987670665.26 12329334.74 10.39 8.42655811615e-07 0.00 0.00 0.0 1.00 
0.00227396460731 39986764290.49 13235709.51 10.39 7.84951162898e-07 0.00 0.00 0.0 1.00 
0.00236468556873 39985821755.45 14178244.55 10.39 7.32769527951e-07 0.00 0.00 0.0 1.00 
0.00245902588852 39984841617.49 15158382.51 10.39 6.85388798009e-07 0.00 0.00 0.0 1.00 
0.00255712996281 39983822376.44 16177623.56 10.39 6.42207152828e-07 0.00 0.00 0.0 1.00 
0.00265914794847 39982762472.25 17237527.75 10.39 6.02719004608e-07 0.00 0.00 0.0 1.00 
0.00276523599297 39981660282.65 18339717.35 10.39 5.66496493377e-07 0.00 0.00 0.0 1.00 
0.00287555647334 39980514120.64 19485879.36 10.39 5.33175094545e-07 0.00 0.00 0.0 1.00 
0.00299027824476 39979327715.48 20677768.07 10.39 5.02442310584e-07 0.00 0.00 0.0 1.00 
0.00310957689892 39978101879.36 21917207.79 10.39 4.74028702395e-07 0.00 0.00 0.0 1.00 
0.00323363503289 39976827137.90 23206095.58 10.39 4.4770071443e-07 0.00 0.00 0.0 1.00 
0.00336264252848 39975501539.98 24546404.19 10.39 4.23254888517e-07 0.00 0.00 0.0 1.00 
0.00349679684299 39974130856.07 25940185.09 10.39 4.00513162618e-07 0.00 0.00 0.0 1.00 
0.00363630331132 39972705488.03 27389571.58 10.39 3.79319024372e-07 0.00 0.00 0.0 1.00 
0.00378137546036 39971235398.42 28896782.07 10.39 3.5953434344e-07 0.00 0.00 0.0 1.00 
0.00393223533573 39969706658.84 30464123.48 10.39 3.41036746886e-07 0.00 0.00 0.0 1.00 
0.00408911384168 39968116929.42 32093994.77 10.39 3.23717432005e-07 0.00 0.00 0.0 1.00 
0.00425225109451 39966463776.95 33788890.59 10.39 3.07479333833e-07 0.00 0.00 0.0 1.00 
0.00442189679008 39964758808.36 35551405.13 10.39 2.92235582002e-07 0.00 0.00 0.0 1.00 
0.00459831058597 39962985819.19 37384236.07 10.39 2.77908195001e-07 0.00 0.00 0.0 1.00 
0.00478176249895 39961142095.73 39290188.73 10.39 2.64426970302e-07 0.00 0.00 0.0 1.00 
0.00497253331825 39959249740.25 41272180.33 10.39 2.51728536903e-07 0.00 0.00 0.0 1.00 
0.0051709150353 39957281888.29 43333244.48 10.39 2.39755543217e-07 0.00 0.00 0.0 1.00 
0.00537721129071 39955235527.89 45476535.82 10.39 2.28455958277e-07 0.00 0.00 0.0 1.00 
0.00559173783896 39953107526.91 47705334.84 10.39 2.17782468222e-07 0.00 0.00 0.0 1.00 
0.00581482303173 39950894628.26 50023052.92 10.39 2.07691953247e-07 0.00 0.00 0.0 1.00 
